kẹo	candy
mũ lưỡi trai, mũ vải	cap
có tài, có năng lực; có khả năng, cả gan	capable
năng lực, khả năng tiếp thu, năng suất	capacity
thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản	capital
người cầm đầu, người chỉ huy, thủ lĩnh	captain
bắt giữ, bắt; sự bắt giữ, sự bị bắt	capture
xe hơi	car
thẻ, thiếp	card
bìa cứng, các tông	cardboard
sự chăm sóc, chăm nom; chăm sóc	care
nghề nghiệp, sự nghiệp	career
cẩn thận, cẩn trọng, biết giữ gìn	careful
cẩn thận, chu đáo	carefully
sơ suất, cầu thả	careless
cẩu thả, bất cẩn	carelessly
tấm thảm, thảm (cỏ)	carpet
củ cà rốt	carrot
mang, vác, khuân chở	carry
vỏ, ngăn, túi	case
tiền, tiền mặt	cash
quăng, ném, thả, đánh gục; sự quăng, sự ném (lưới), sự thả (neo)	cast
thành trì, thành quách	castle
con mèo	cat
bắt lấy, nắm lấy, tóm lấy, chộp lấy	catch
hạng, loại; phạm trù	category
nguyên nhân, nguyên do; gây ra, gây nên	cause
dừng, ngừng, ngớt, thôi, hết, tạnh	cease
trần nhà	ceiling
kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng	celebrate
sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng	celebration
ô, ngăn	cell
(especially NAmE) điện thoại di động	cellphone
đồng xu (=1/100 đô la)	cent
(abbr. cm) xen ti met	centimetre
trung tâm, ở giữa, trung ương	central
điểm giữa, trung tâm, trung ương	centre
thế kỷ	century
nghi thức, nghi lễ	ceremony
chắc chắn	certain
chắc chắn, nhất định	certainly
thiếu chính xác, không chắc chắn	uncertain
giấy chứng nhận, bằng, chứng chỉ	certificate
dây, xích; xính lại, trói lại	chain
ghế	chair
/'tʃeə,wumən/ chủ tịch, chủ tọa	chairman,
