trễ, muộn	late
chậm hơn	later
muộn nhất, chậm nhất, gần đây nhất	latest
sau cùng, gần đây, mới đây	latter
cười; tiếng cười	laugh
hạ thủy (tàu); khai trương; sự hạ thủy, buổi giới thiệu sản phầm	launch
luật	law
luật sư	lawyer
xếp, đặt, bố trí	lay
lớp	layer
lười biếng	lazy
v., n. lãnh đạo, dẫn dắt; sự lãnh đạo, sự hướng dẫn	lead
lãnh đạo, dẫn đầu	leading
người lãnh đạo, lãnh tụ	leader
lá cây, lá (vàng...)	leaf
liên minh, liên hoàn	league
nghiêng, dựa, ỷ vào	lean
học, nghiên cứu	learn
tối thiểu; ít nhất	least
da thuộc	leather
bỏ đi, rời đi, để lại	leave
bài diễn thuyết, bài thuyết trình, bài nói chuyện	lecture
bên trái; về phía trái	left
chân (người, thú, bàn...)	leg
hợp pháp	legal
hợp pháp	legally
quả chanh	lemon
cho vay, cho mượn	lend
chiều dài, độ dài	length
nhỏ bé, ít hơn; số lượng ít hơn	less
bài học	lesson
cho phép, để cho	let
thư; chữ cái, mẫu tự	letter
trình độ, cấp, vị trí; bằng, ngang bằng	level
thư viện	library
bằng, chứng chỉ, bằng cử nhân; sự cho phép	licence
cấp chứng chỉ, cấp bằng, cho phép	license
nắp, vung (xoong, nồi..); mi mắt (eyelid)	lid
nói dối; lời nói dối, sự dối trá	lie
đời, sự sống	life
giơ lên, nhấc lên; sự nâng, sự nhấc lên	lift
ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng	light
nhẹ nhàng	lightly
giống như; thích; như	like
khác, không giống	unlike
có thể đúng, có thể xảy ra, có khả năng; có thể, chắc vậy	likely
không thể xảy ra, không chắc xảy ra	unlikely
giới hạn, ranh giới; giới hạn, hạn chế	limit
