bộ trưởng	minister
bộ	ministry
nhỏ hơn, thứ yếu, không quan trọng	minor
phần ít, thiểu số	minority
phút	minute
gương	mirror
lỡ, trượt; sự trượt, sự thiếu vắng	miss
cô gái, thiếu nữ	Miss
vắng, thiếu, thất lạc	missing
lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm	mistake
sai lầm, hiểu lầm	mistaken
pha, trộn lẫn; sự pha trộn	mix
lẫn lộn, pha trộn	mixed
sự pha trộn, sự hỗn hợp	mixture
chuyển động, di động	mobile
(BrE) điện thoại đi động	mobile
mẫu, kiểu mẫu	model
hiện đại, tân tiến	modern
mẹ	mum
chốc, lát	moment
thứ 2	Monday
tiền	money
lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát	monitor
tháng	month
lối, thức, điệu	mood
mặt trăng	moon
(thuộc) đạo đức, luân lý, phẩm hạnh; có đạo đức	moral
có đạo đức	morally
hơn, nhiều hơn	more
hơn nữa, ngoài ra, vả lại	moreover
buổi sáng	morning
lớn nhất, nhiều nhất; nhất, hơn cả	most
hầu hết, chủ yếu là	mostly
mẹ	mother
sự chuyển động, sụ di động	motion
động cơ mô tô	motor
xe mô tô	motorcycle
leo, trèo; núi	mount
núi	mountain
chuột	mouse
miệng	mouth
di chuyển, chuyển động; sự di chuyển, sự chuyển động	move
động, hoạt động	moving
sự chuyển động, sự hoạt động; cử động, động tác	movement
phim xi nê	movie
(NAmE) rạp chiếu phim	movie
NAmE, BrE) abbr.	Mr
NAmE, BrE) abbr.	Mrs
NAmE, BrE) abbr.	Ms
nhiều, lắm	much
