phần thưởng; tặng, thưởng	award
biết, nhận thức, nhận thức thấy	aware
xa, xa cách, rời xa, đi xa	away
oai nghiêm, dễ sợ	awful
tàn khốc, khủng khiếp	awfully
vụng về, lung túng	awkward
vụng về, lung túng	awkwardly
lưng, về phía sau, trở lại	back
phía sau; nền	background
	backwards
về phía sau, lùi lại	backward
vi khuẩn	bacteria
xấu, tồi	bad
xấu, tồi	badly
xấu tính, dễ nổi cáu	bad-tempered
bao, túi, cặp xách	bag
hành lý	baggage
nung, nướng bằng lò	bake
cái cân; làm cho cân bằng, tương xứng	balance
quả bóng	ball
cấm, cấm chỉ; sự cấm	ban
băng, đai, nẹp	band
dải băng; băng bó	bandage
bờ (sông…) , đê	bank
quán bán rượu	bar
sự mặc cả, sự giao kèo mua bán	bargain
đặt chướng ngại vật	barrier
cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì	base
cơ bản, cơ sở	basic
cơ bản, về cơ bản	basically
nền tảng, cơ sở	basis
sự tắm	bath
buồng tắm, nhà vệ sinh	bathroom
pin, ắc quy	battery
trận đánh, chiến thuật	battle
gian (nhà), nhịp (cầu), chuồng (ngựa); bays: vòng nguyệt quế	bay
bãi biển	beach
mỏ chim	beak
mang, cầm, vác, đeo, ôm	bear
râu	beard
tiếng đập, sự đập; đánh đập, đấm	beat
đẹp	beautiful
tốt đẹp, đáng hài lòng	beautifully
vẻ đẹp, cái đẹp; người đẹp	beauty
bởi vì, vì	because
vì, do bởi	because
trở thành, trở nên	become
cái giường	bed
