dạy	teach
sự dạy, công việc dạy học	teaching
giáo viên	teacher
đội, nhóm	team
xé, làm rắch; chỗ rách, miếng xe; nước mắt	tear
(thuộc) kỹ thuật, chuyên môn	technical
kỹ sảo, kỹ thuật, phương pháp kỹ thuật	technique
kỹ thuật học, công nghệ học	technology
máy điện thoại, gọi điện thoại	telephone
vô tuyến truyền hình	television
nói, nói với	tell
nhiệt độ	temperature
tạm thời, nhất thời	temporary
tạm	temporarily
trông nom, chăm sóc, giữ gìn, hầu hạ	tend
xu hướng, chiều hướng, khuynh hướng	tendency
sự căng, độ căng, tình trạng căng	tension
lều, rạp	tent
giới hạn, kỳ hạn, khóa, kỳ học	term
khủng khiếp, ghê sợ	terrible
tồi tệ, không chịu nổi	terribly
bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra, xét nghiệm, thử nghiệm	test
nguyên văn, bản văn, chủ đề, đề tì	text
hơn	than
cám ơn	thank
sự cảm ơn, lời cảm ơn	thanks
cảm ơn bạn (ông bà, anh chị...)	thank
người ấy, đó, vật ấy, đó; rằng, là	that
cái, con, người, ấy này....	the
rạp hát, nhà hát	theatre
của chúng, của chúng nó, của họ	their
của chúng, của chúng nó, của họ	theirs
chúng, chúng nó, họ	them
đề tài, chủ đề	theme
tự chúng, tự họ, tự	themselves
khi đó, lúc đó, tiếp đó	then
lý thuyết, học thuyết	theory
ở nơi đó, tại nơi đó	there
bởi vậy, cho nên, vì thế	therefore
chúng, chúng nó, họ; những cái ấy	they
dày; đậm	thick
dày; dày đặc; thành lớp dày	thickly
tính chất dày, độ dày, bề dày	thickness
kẻ trộm, kẻ cắp	thief
mỏng, mảnh	thin
cái, đồ, vật	thing
nghĩ, suy nghĩ	think
sự suy nghĩ, ý nghĩ	thinking
khát, cảm thấy khát	thirsty
cái này, điều này, việc này	this
