phòng ngủ	bedroom
thịt bò	beef
rượu bia	beer
trước, đằng trước	before
bắt đầu, khởi đầu	begin
phần đầu, lúc bắt đầu, lúc khởi đầu	beginning
sự thay mặt	behalf
đối xử, ăn ở, cư xử	behave
sau, ở đằng sau	behind
lòng tin, đức tin, sự tin tưởng	belief
tin, tin tưởng	believe
cái chuông, tiếng chuông	bell
thuộc về, của, thuộc quyền sở hữu	belong
ở dưới, dưới thấp, phía dưới	below
dây lưng, thắt lưng	belt
chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong	bend
khiếu, sở thích, khuynh hướng	bent
ở dưới, dưới thấp	beneath
lợi, lợi ích; giúp ích, làm lợi cho	benefit
bên cạnh, so với	beside
đánh cuộc, cá cược; sự đánh cuộc	bet
sự đánh cuộc	betting
/best/ tốt hơn, tốt nhất	better,
/wel/ tốt, khỏe	good,
giữa, ở giữa	between
ở xa, phía bên kia	beyond
xe đạp	bicycle
đặt giá, trả giá; sự đặt giá, sự trả giá	bid
to, lớn	big
hóa đơn, giấy bạc	bill
thùng, thùng đựng rượu	bin
sinh vật học	biology
chim	bird
sự ra đời, sự sinh đẻ	birth
ngày sinh, sinh nhật	birthday
bánh quy	biscuit
miếng, mảnh	bit
cắn, ngoạm; sự cắn, sự ngoạm	bite
đắng; đắng cay, chua xót	bitter
đắng, đắng cay, chua xót	bitterly
đen; màu đen	black
lưỡi (dao, kiếm); lá (cỏ, cây); mái (chèo); cánh (chong chóng)	blade
khiển trách, mắng trách; sự khiển trách, sự mắng trách	blame
trống, để trắng; sự trống rỗng	blank
ngây ra, không có thần	blankly
