đui, mù	blind
khối, tảng (đá); làm ngăn cản, ngăn chặn	block
hoe vàng, mái tóc hoe vàng	blonde
máu, huyết; sự tàn sát, chem giết	blood
nở hoa; sự nở hoa	blow
xanh, màu xanh	blue
tấm ván; lát ván, lót ván	board
tàu, thuyền	boat
thân thể, thân xác	body
sôi, luộc	boil
quả bom; oánh bom, thả bom	bomb
xương	bone
sách; ghi chép	book
giày ống	boot
bờ, mép, vỉa, lề (đường)	border
buồn chán, buồn tẻ	bore
buồn chán	boring
buồn chán	bored
sinh, đẻ	born:
vay, mượn	borrow
ông chủ, thủ trưởng	boss
cả hai	both
làm phiền, quấy rầy, làm bực mình	bother
chai, lọ	bottle
phần dưới cùng, thấp nhất; cuối, cuối cùng	bottom
nhất định, chắc chắn	bound
cái bát	bowl
hộp, thùng	box
con trai, thiếu niên	boy
bạn trai	boyfriend
óc não; đầu óc, trí não	brain
ngành; nhành cây, nhánh song, ngả đường	branch
nhãn (hàng hóa)	brand
gan dạ, can đảm	brave
bánh mỳ	bread
bẻ gãy, đập vỡ; sự gãy, sự vỡ	break
bị gãy, bị vỡ	broken
bữa điểm tâm, bữa sáng	breakfast
ngực, vú	breast
hơi thở, hơi	breath
hít, thở	breathe
sự hô hấp, sự thở	breathing
nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống	breed
gạch	brick
cái cầu	bridge
ngắn, gọn, vắn tắt	brief
ngắn, gọn, vắn tắt, tóm tắt	briefly
sáng, sáng chói	bright
sáng chói, tươi	brightly
